Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,,,
2018,Third,Coolamon,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Flat/Unit,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coolamon,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coolamon,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Total,Total,175,200,265,s,163,0.00%,0.00%,-56.00%,-42.11%,,,
2018,Third,Coonamble,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,Total,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Total,2 Bedrooms,-,-,-,-,35,-,-,-,-,,,
2018,Third,Coonamble,Total,3 Bedrooms,-,-,-,-,85,-,-,-,-,,,
2018,Third,Coonamble,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,House,Total,175,200,265,s,124,0.00%,0.00%,-50.00%,-38.89%,,,
2018,Third,Coonamble,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,House,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,House,3 Bedrooms,-,-,-,-,76,-,-,-,-,,,
2018,Third,Coonamble,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Flat/Unit,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Coonamble,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Coonamble,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Total,Total,220,250,290,57,614,0.00%,9.89%,-6.56%,-51.69%,,,
2018,Third,Gundagai,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Total,1 Bedroom,-,-,-,-,51,-,-,-,-,,,
2018,Third,Gundagai,Total,Not Specified,-,-,-,-,40,-,-,-,-,,,
2018,Third,Gundagai,Total,2 Bedrooms,180,210,250,s,207,10.53%,5.00%,-29.41%,-69.23%,,,
2018,Third,Gundagai,Total,3 Bedrooms,248,270,300,s,242,8.00%,8.00%,-11.11%,-50.00%,,,
2018,Third,Gundagai,Total,4 or more Bedrooms,-,-,-,-,73,-,-,-,-,,,
2018,Third,Gundagai,House,Total,243,265,300,34,345,1.92%,6.00%,-12.82%,-48.48%,,,
2018,Third,Gundagai,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gundagai,House,2 Bedrooms,-,-,-,-,48,-,-,-,-,,,
2018,Third,Gundagai,House,3 Bedrooms,240,270,300,s,208,8.00%,8.00%,-16.00%,-48.78%,,,
2018,Third,Gundagai,House,4 or more Bedrooms,-,-,-,-,67,-,-,-,-,,,
2018,Third,Gundagai,Other,Total,-,-,-,-,58,-,-,-,-,,,
2018,Third,Gundagai,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gundagai,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gundagai,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gundagai,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gundagai,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Flat/Unit,Total,160,185,213,s,192,-2.63%,8.82%,-5.88%,-60.00%,,,
2018,Third,Gundagai,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Flat/Unit,1 Bedroom,-,-,-,-,42,-,-,-,-,,,
2018,Third,Gundagai,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gundagai,Flat/Unit,2 Bedrooms,-,-,-,-,129,-,-,-,-,,,
2018,Third,Gundagai,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gundagai,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Total,Total,210,240,265,55,839,0.00%,-2.04%,-19.12%,-30.38%,,,
2018,Third,Cowra,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Total,1 Bedroom,-,-,-,-,36,-,-,-,-,,,
2018,Third,Cowra,Total,Not Specified,-,-,-,-,31,-,-,-,-,,,
2018,Third,Cowra,Total,2 Bedrooms,184,223,233,s,304,1.14%,23.61%,6.67%,-44.83%,,,
2018,Third,Cowra,Total,3 Bedrooms,240,250,280,s,370,0.00%,0.00%,-19.44%,-17.14%,,,
2018,Third,Cowra,Total,4 or more Bedrooms,-,-,-,-,94,-,-,-,-,,,
2018,Third,Cowra,House,Total,239,250,280,36,509,0.00%,0.00%,-16.28%,-29.41%,,,
2018,Third,Cowra,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Cowra,House,2 Bedrooms,-,-,-,-,79,-,-,-,-,,,
2018,Third,Cowra,House,3 Bedrooms,240,250,279,s,329,0.00%,0.00%,-21.21%,-18.75%,,,
2018,Third,Cowra,House,4 or more Bedrooms,-,-,-,-,84,-,-,-,-,,,
2018,Third,Cowra,Other,Total,-,-,-,-,67,-,-,-,-,,,
2018,Third,Cowra,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Cowra,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Cowra,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Cowra,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Cowra,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Flat/Unit,Total,156,195,230,s,251,13.04%,13.04%,0.00%,0.00%,,,
2018,Third,Cowra,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Flat/Unit,1 Bedroom,-,-,-,-,31,-,-,-,-,,,
2018,Third,Cowra,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Cowra,Flat/Unit,2 Bedrooms,179,213,233,s,192,-3.41%,23.19%,33.33%,-25.00%,,,
2018,Third,Cowra,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Cowra,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Western Plains Regional,Total,Total,260,320,360,526,4765,0.00%,0.79%,-5.05%,8.68%,,,
2018,Third,Western Plains Regional,Total,Bedsitter,-,-,-,-,s,-,-,-,-,,,
2018,Third,Western Plains Regional,Total,1 Bedroom,166,220,258,38,289,10.00%,22.22%,-2.56%,5.56%,,,
2018,Third,Western Plains Regional,Total,Not Specified,275,290,330,s,215,-7.94%,13.73%,-61.76%,-27.78%,,,
2018,Third,Western Plains Regional,Total,2 Bedrooms,229,253,290,152,1367,-2.88%,1.00%,6.29%,34.51%,,,
2018,Third,Western Plains Regional,Total,3 Bedrooms,300,330,360,203,1863,3.13%,3.13%,-7.31%,-5.58%,,,
2018,Third,Western Plains Regional,Total,4 or more Bedrooms,350,380,440,117,1003,-5.00%,-2.56%,0.00%,17.00%,,,
2018,Third,Western Plains Regional,House,Total,300,340,380,317,2880,-1.45%,3.03%,-8.65%,0.00%,,,
2018,Third,Western Plains Regional,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Western Plains Regional,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Western Plains Regional,House,Not Specified,-,-,-,-,104,-,-,-,-,,,
2018,Third,Western Plains Regional,House,2 Bedrooms,233,278,294,s,266,2.78%,2.78%,-6.25%,0.00%,,,
2018,Third,Western Plains Regional,House,3 Bedrooms,300,330,360,169,1572,3.13%,3.13%,-8.15%,-8.65%,,,
2018,Third,Western Plains Regional,House,4 or more Bedrooms,350,380,450,107,920,-5.00%,-5.00%,-2.73%,15.05%,,,
2018,Third,Western Plains Regional,Other,Total,248,278,346,32,441,-4.31%,-2.63%,-17.95%,6.67%,,,
2018,Third,Western Plains Regional,Other,Bedsitter,-,-,-,-,s,-,-,-,-,,,
2018,Third,Western Plains Regional,Other,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Western Plains Regional,Other,Not Specified,-,-,-,-,68,-,-,-,-,,,
2018,Third,Western Plains Regional,Other,2 Bedrooms,248,265,283,s,156,-0.93%,8.16%,0.00%,71.43%,,,
2018,Third,Western Plains Regional,Other,3 Bedrooms,-,-,-,-,136,-,-,-,-,,,
2018,Third,Western Plains Regional,Other,4 or more Bedrooms,-,-,-,-,49,-,-,-,-,,,
2018,Third,Western Plains Regional,Townhouse,Total,260,295,365,48,322,-4.84%,-13.24%,9.09%,65.52%,,,
2018,Third,Western Plains Regional,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Western Plains Regional,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Western Plains Regional,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Western Plains Regional,Townhouse,2 Bedrooms,253,273,340,s,189,-1.80%,-12.10%,25.00%,130.77%,,,
2018,Third,Western Plains Regional,Townhouse,3 Bedrooms,320,355,400,s,93,2.90%,2.90%,-7.14%,8.33%,,,
2018,Third,Western Plains Regional,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Western Plains Regional,Flat/Unit,Total,200,240,280,129,1122,2.13%,4.35%,4.03%,19.44%,,,
2018,Third,Western Plains Regional,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Western Plains Regional,Flat/Unit,1 Bedroom,165,220,278,32,255,12.82%,12.82%,-8.57%,10.34%,,,
2018,Third,Western Plains Regional,Flat/Unit,Not Specified,-,-,-,-,35,-,-,-,-,,,
2018,Third,Western Plains Regional,Flat/Unit,2 Bedrooms,219,240,275,80,756,0.00%,4.35%,6.67%,26.98%,,,
2018,Third,Western Plains Regional,Flat/Unit,3 Bedrooms,270,280,293,s,62,-3.45%,-3.45%,37.50%,10.00%,,,
2018,Third,Western Plains Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Total,Total,283,320,350,31,343,-5.88%,-7.25%,40.91%,3.33%,,,
2018,Third,Dungog,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Dungog,Total,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Total,2 Bedrooms,-,-,-,-,66,-,-,-,-,,,
2018,Third,Dungog,Total,3 Bedrooms,298,335,358,s,185,-9.46%,-2.90%,100.00%,0.00%,,,
2018,Third,Dungog,Total,4 or more Bedrooms,-,-,-,-,60,-,-,-,-,,,
2018,Third,Dungog,House,Total,298,328,358,s,267,-6.43%,-7.75%,41.18%,-7.69%,,,
2018,Third,Dungog,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,House,2 Bedrooms,-,-,-,-,38,-,-,-,-,,,
2018,Third,Dungog,House,3 Bedrooms,295,330,350,s,164,-13.16%,-5.71%,111.11%,0.00%,,,
2018,Third,Dungog,House,4 or more Bedrooms,-,-,-,-,57,-,-,-,-,,,
2018,Third,Dungog,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Dungog,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Flat/Unit,Total,-,-,-,-,52,-,-,-,-,,,
2018,Third,Dungog,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Dungog,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Dungog,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Dungog,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Total,Total,173,220,280,75,693,10.00%,0.00%,-8.54%,-11.76%,,,
2018,Third,Edward River,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Total,1 Bedroom,110,200,200,s,59,66.67%,66.67%,-13.33%,-18.75%,,,
2018,Third,Edward River,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Edward River,Total,2 Bedrooms,150,200,223,s,291,19.40%,5.26%,7.69%,12.00%,,,
2018,Third,Edward River,Total,3 Bedrooms,250,280,295,s,259,3.70%,12.00%,-32.35%,-25.81%,,,
2018,Third,Edward River,Total,4 or more Bedrooms,-,-,-,-,67,-,-,-,-,,,
2018,Third,Edward River,House,Total,220,260,298,42,363,-3.70%,0.00%,-6.67%,-10.64%,,,
2018,Third,Edward River,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,House,2 Bedrooms,-,-,-,-,51,-,-,-,-,,,
2018,Third,Edward River,House,3 Bedrooms,250,280,298,s,240,3.70%,7.69%,-33.33%,-21.43%,,,
2018,Third,Edward River,House,4 or more Bedrooms,-,-,-,-,66,-,-,-,-,,,
2018,Third,Edward River,Other,Total,-,-,-,-,39,-,-,-,-,,,
2018,Third,Edward River,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Other,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Edward River,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Townhouse,Total,-,-,-,-,32,-,-,-,-,,,
2018,Third,Edward River,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Edward River,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Edward River,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Flat/Unit,Total,150,200,200,s,259,33.33%,29.03%,-18.75%,-7.14%,,,
2018,Third,Edward River,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Flat/Unit,1 Bedroom,-,-,-,-,42,-,-,-,-,,,
2018,Third,Edward River,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Flat/Unit,2 Bedrooms,143,165,208,s,208,3.13%,-1.49%,-14.29%,28.57%,,,
2018,Third,Edward River,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Edward River,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Total,Total,295,350,400,293,2885,0.00%,6.06%,3.90%,2.09%,,,
2018,Third,Eurobodalla,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Total,1 Bedroom,199,210,223,s,170,-2.33%,2.44%,0.00%,0.00%,,,
2018,Third,Eurobodalla,Total,Not Specified,-,-,-,-,185,-,-,-,-,,,
2018,Third,Eurobodalla,Total,2 Bedrooms,260,295,321,96,903,1.72%,9.26%,12.94%,9.09%,,,
2018,Third,Eurobodalla,Total,3 Bedrooms,343,370,400,131,1226,0.00%,5.71%,-0.76%,3.15%,,,
2018,Third,Eurobodalla,Total,4 or more Bedrooms,408,435,473,44,391,-3.33%,8.75%,-2.22%,0.00%,,,
2018,Third,Eurobodalla,House,Total,330,378,420,182,1613,-0.66%,7.86%,1.11%,15.19%,,,
2018,Third,Eurobodalla,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Eurobodalla,House,Not Specified,-,-,-,-,53,-,-,-,-,,,
2018,Third,Eurobodalla,House,2 Bedrooms,300,320,330,37,287,0.79%,6.67%,15.63%,37.04%,,,
2018,Third,Eurobodalla,House,3 Bedrooms,350,380,400,101,904,1.33%,8.57%,-1.94%,12.22%,,,
2018,Third,Eurobodalla,House,4 or more Bedrooms,420,440,480,41,348,-2.22%,7.98%,-2.38%,2.50%,,,
2018,Third,Eurobodalla,Other,Total,193,318,405,s,250,-9.29%,13.39%,50.00%,-50.00%,,,
2018,Third,Eurobodalla,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Other,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Eurobodalla,Other,Not Specified,-,-,-,-,81,-,-,-,-,,,
2018,Third,Eurobodalla,Other,2 Bedrooms,-,-,-,-,56,-,-,-,-,,,
2018,Third,Eurobodalla,Other,3 Bedrooms,-,-,-,-,65,-,-,-,-,,,
2018,Third,Eurobodalla,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Eurobodalla,Townhouse,Total,330,360,390,s,204,5.88%,10.77%,7.14%,-42.31%,,,
2018,Third,Eurobodalla,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Townhouse,2 Bedrooms,-,-,-,-,81,-,-,-,-,,,
2018,Third,Eurobodalla,Townhouse,3 Bedrooms,-,-,-,-,107,-,-,-,-,,,
2018,Third,Eurobodalla,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Flat/Unit,Total,230,270,310,84,818,0.00%,3.85%,5.00%,6.33%,,,
2018,Third,Eurobodalla,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Eurobodalla,Flat/Unit,1 Bedroom,196,210,220,s,131,-2.33%,0.00%,0.00%,7.69%,,,
2018,Third,Eurobodalla,Flat/Unit,Not Specified,-,-,-,-,44,-,-,-,-,,,
2018,Third,Eurobodalla,Flat/Unit,2 Bedrooms,250,270,290,47,479,0.00%,8.00%,4.44%,0.00%,,,
2018,Third,Eurobodalla,Flat/Unit,3 Bedrooms,299,330,353,s,150,0.00%,0.00%,5.26%,17.65%,,,
2018,Third,Eurobodalla,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Total,Total,210,245,300,89,878,0.00%,5.38%,-8.25%,-16.04%,,,
2018,Third,Federation,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Total,1 Bedroom,-,-,-,-,68,-,-,-,-,,,
2018,Third,Federation,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Federation,Total,2 Bedrooms,180,205,223,s,311,-1.20%,10.81%,-32.35%,-37.84%,,,
2018,Third,Federation,Total,3 Bedrooms,240,280,300,45,365,1.82%,7.69%,12.50%,4.65%,,,
2018,Third,Federation,Total,4 or more Bedrooms,299,300,343,s,102,0.00%,-5.51%,-7.69%,0.00%,,,
2018,Third,Federation,House,Total,233,280,300,62,473,0.00%,0.00%,24.00%,21.57%,,,
2018,Third,Federation,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Federation,House,2 Bedrooms,-,-,-,-,60,-,-,-,-,,,
2018,Third,Federation,House,3 Bedrooms,241,280,300,42,302,1.82%,2.75%,35.48%,23.53%,,,
2018,Third,Federation,House,4 or more Bedrooms,299,300,343,s,96,0.00%,-5.51%,0.00%,0.00%,,,
2018,Third,Federation,Other,Total,-,-,-,-,52,-,-,-,-,,,
2018,Third,Federation,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Federation,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Federation,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Townhouse,Total,-,-,-,-,39,-,-,-,-,,,
2018,Third,Federation,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Federation,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
